Produto;Valor;Quantidade
50 Tons da Vida;R$ 39,90;88
A Lua do Oriente e Outras Luas;R$ 78,00;89
A Um - Poemas;R$ 49,00;90
A Voz e o Tempo - 3a ed.;R$ 72,00;91
A.S.A. - Associação dos Solitários Anônimos;R$ 64,00;92
Acústica Musical em Palavras e Sons, A;R$ 91,00;93
Adeus Penderama e Outros Escritos;R$ 42,00;94
Adoniran Barbosa - O Poeta da Cidade;R$ 53,00;95
Adorável Criatura Frankenstein;R$ 52,00;96
Afeto Autoritário, O - Televisão, Ética e Democracia;R$ 42,00;97
Afinador de Passarinhos, O;R$ 46,00;98
Aldo Manuzio. Editor. Tipógrafo. Livreiro (2a ed.);R$ 75,00;99
Alguma Crítica;R$ 66,00;100
Almanaque Tipográfico Brasileiro;R$ 67,00;101
Alongamento;R$ 62,00;102
Altar & o Trono, O - Dinâmica do Poder em O Alienista;R$ 106,00;103
Amaro Macedo - O Solitário do Cerrado;R$ 47,00;104
Amor, Luta e Luto - No Tempo da Ditadura;R$ 40,00;105
Ancora Medicinal para Conservar a Vida com Saúde;R$ 102,00;106
