Produto,valor,Quantidade,total,data
Alho-poró,0.5,5.0,2.5,2022-10-15 22:43:32.158154
Batata,3.0,2.0,6.0,2022-10-15 22:43:32.158154
Beldroega,4.5,2.0,9.0,2022-10-15 22:43:32.158154
Cará,1.0,1.0,1.0,2022-10-15 22:43:32.158154
Brócolis,3.5,3.0,10.5,2022-10-15 22:43:32.158154
Cebola,1.0,14.0,13.0,2022-10-15 22:43:32.158154
Cará-moela,4.5,1.0,4.5,2022-10-15 22:43:32.158154
Chalota,2.5,1.0,2.5,2022-10-15 22:43:32.158154
Chia,3.0,2.0,6.0,2022-10-15 22:43:32.158154
Castanheiro-do-mato,3.5,1.0,3.5,2022-10-15 22:43:32.158154
Alho-poró,0.5,1.0,0.5,2022-10-15 22:41:15.057342
Batata,3.0,1.0,3.0,2022-10-15 22:41:15.057342
Beldroega,4.5,1.0,4.5,2022-10-15 22:41:15.057342
Cará,1.0,1.0,1.0,2022-10-15 22:41:15.057342
Brócolis,3.5,1.0,3.5,2022-10-15 22:41:15.057342
Cebola,1.0,7.0,6.0,2022-10-15 22:41:15.057342
Alho-poró,0.5,1.0,0.5,2022-10-15 03:26:38.312152
Almeirão,1.5,3.0,4.5,2022-10-15 03:26:38.312152
Batata-doce,0.5,3.0,1.5,2022-10-15 03:26:38.312152
Beldroega,4.5,2.0,9.0,2022-10-15 03:26:38.312152
Azedinha,3.0,1.0,3.0,2022-10-15 03:26:38.312152
Batata,3.0,2.0,6.0,2022-10-15 03:26:38.312152
